title,charge-e-de-gestion-des-ressources-humaines,manager-rh,gestionnaire-de-paie,data-architect,developpeur-se-dapplication-python,developpeur-web-junior,community-manager,responsable-marketing-operationnel,developpeur-se-d-application-php-symfony,data-scientist,expert-e-en-strategie-marketing-et-communication,data-analyst,theme
Concevez votre stratégie de sourcing,True,True,False,False,False,False,False,False,False,False,False,False,RH
Concevez votre site web avec PHP et MySQL,False,False,False,False,False,True,False,False,True,False,False,False,dev
Gérez et animez les Instances Représentatives du Personnel,True,True,False,False,False,False,False,False,False,False,False,False,RH
Débutez l'analyse logicielle avec UML,False,False,False,False,True,False,False,False,True,False,False,False,dev
Décrivez et nettoyez votre jeu de données,False,False,False,False,False,False,False,False,False,False,False,True,data
Déployez une application Django,False,False,False,False,True,False,False,False,False,False,False,False,dev
Concevez des architectures Big Data,False,False,False,True,False,False,False,False,False,False,False,False,data
Initiez-vous à la gestion de projet agile,False,True,False,False,False,False,False,True,False,False,False,False,RH & marketing
Initiez-vous à la statistique inférentielle,False,False,False,False,False,False,False,False,False,False,False,True,data
Explorez vos données avec des algorithmes non supervisés,False,False,False,False,False,False,False,False,False,True,False,False,data
Apprenez à lire un bulletin de paie,True,False,True,False,False,False,False,False,False,False,False,False,RH
Repérer la résistance à la transformation digitale,True,True,False,False,False,False,False,False,False,False,True,False,RH & marketing
Prenez en main Bootstrap,False,False,False,False,True,True,False,False,True,False,False,False,dev
Apprenez à coder avec JavaScript,False,False,False,False,True,True,False,False,False,False,False,False,dev
Introduction à jQuery,False,False,False,False,True,True,False,False,False,False,False,False,dev
Découvrez le fonctionnement des algorithmes,False,False,False,False,True,False,False,False,False,False,False,False,dev
Initiez-vous à l'algèbre relationnelle avec le langage SQL,False,False,False,False,False,False,False,False,False,False,False,True,data
Gérez la performance de vos collaborateurs,False,True,False,False,False,False,False,False,False,False,False,False,RH
"""Handicap et entreprise"": intégrez durablement le handicap dans votre entreprise",True,True,False,False,False,False,False,False,False,False,False,False,RH
Animez une communauté Facebook,True,False,False,False,False,False,True,False,False,False,False,False,RH & marketing
Elaborez une politique de rémunération,False,True,False,False,False,False,False,False,False,False,False,False,RH
